[2025-09-10 14:23:58,340][__main__][INFO] - Loading dataset from data/squad/squad.csv
[2025-09-10 14:23:58,745][__main__][INFO] - Loaded dataset with 87599 rows and 9 columns
[2025-09-10 14:23:58,745][__main__][INFO] - Columns: ['id', 'title', 'context', 'question', 'answer', 'answer_start_char_idx', 'answer_end_char_idx', 'answer_start_word_idx', 'answer_end_word_idx']
[2025-09-10 14:23:58,745][__main__][INFO] - Instantiating transformer from configuration
[2025-09-10 14:23:58,747][__main__][INFO] - Created transformer: RandomSequenceTransformation
[2025-09-10 14:23:58,747][__main__][INFO] - Transforming 87599 rows in 'context' column
[2025-09-10 14:23:58,858][__main__][INFO] - Processed 100/87599 contexts, generated 1000 transformations so far
[2025-09-10 14:23:58,955][__main__][INFO] - Processed 200/87599 contexts, generated 2000 transformations so far
[2025-09-10 14:23:59,053][__main__][INFO] - Processed 300/87599 contexts, generated 3000 transformations so far
[2025-09-10 14:23:59,164][__main__][INFO] - Processed 400/87599 contexts, generated 4000 transformations so far
[2025-09-10 14:23:59,259][__main__][INFO] - Processed 500/87599 contexts, generated 5000 transformations so far
[2025-09-10 14:23:59,356][__main__][INFO] - Processed 600/87599 contexts, generated 6000 transformations so far
[2025-09-10 14:23:59,454][__main__][INFO] - Processed 700/87599 contexts, generated 7000 transformations so far
[2025-09-10 14:23:59,551][__main__][INFO] - Processed 800/87599 contexts, generated 8000 transformations so far
[2025-09-10 14:23:59,649][__main__][INFO] - Processed 900/87599 contexts, generated 9000 transformations so far
[2025-09-10 14:23:59,765][__main__][INFO] - Processed 1000/87599 contexts, generated 10000 transformations so far
[2025-09-10 14:23:59,862][__main__][INFO] - Processed 1100/87599 contexts, generated 11000 transformations so far
[2025-09-10 14:23:59,959][__main__][INFO] - Processed 1200/87599 contexts, generated 12000 transformations so far
[2025-09-10 14:24:00,056][__main__][INFO] - Processed 1300/87599 contexts, generated 13000 transformations so far
[2025-09-10 14:24:00,152][__main__][INFO] - Processed 1400/87599 contexts, generated 14000 transformations so far
[2025-09-10 14:24:00,246][__main__][INFO] - Processed 1500/87599 contexts, generated 15000 transformations so far
[2025-09-10 14:24:00,341][__main__][INFO] - Processed 1600/87599 contexts, generated 16000 transformations so far
[2025-09-10 14:24:00,463][__main__][INFO] - Processed 1700/87599 contexts, generated 17000 transformations so far
[2025-09-10 14:24:00,560][__main__][INFO] - Processed 1800/87599 contexts, generated 18000 transformations so far
[2025-09-10 14:24:00,657][__main__][INFO] - Processed 1900/87599 contexts, generated 19000 transformations so far
[2025-09-10 14:24:00,755][__main__][INFO] - Processed 2000/87599 contexts, generated 20000 transformations so far
[2025-09-10 14:24:00,852][__main__][INFO] - Processed 2100/87599 contexts, generated 21000 transformations so far
[2025-09-10 14:24:00,948][__main__][INFO] - Processed 2200/87599 contexts, generated 22000 transformations so far
[2025-09-10 14:24:01,045][__main__][INFO] - Processed 2300/87599 contexts, generated 23000 transformations so far
[2025-09-10 14:24:01,173][__main__][INFO] - Processed 2400/87599 contexts, generated 24000 transformations so far
[2025-09-10 14:24:01,270][__main__][INFO] - Processed 2500/87599 contexts, generated 25000 transformations so far
[2025-09-10 14:24:01,366][__main__][INFO] - Processed 2600/87599 contexts, generated 26000 transformations so far
[2025-09-10 14:24:01,461][__main__][INFO] - Processed 2700/87599 contexts, generated 27000 transformations so far
[2025-09-10 14:24:01,557][__main__][INFO] - Processed 2800/87599 contexts, generated 28000 transformations so far
[2025-09-10 14:24:01,653][__main__][INFO] - Processed 2900/87599 contexts, generated 29000 transformations so far
[2025-09-10 14:24:01,749][__main__][INFO] - Processed 3000/87599 contexts, generated 30000 transformations so far
[2025-09-10 14:24:01,875][__main__][INFO] - Processed 3100/87599 contexts, generated 31000 transformations so far
[2025-09-10 14:24:01,975][__main__][INFO] - Processed 3200/87599 contexts, generated 32000 transformations so far
[2025-09-10 14:24:02,075][__main__][INFO] - Processed 3300/87599 contexts, generated 33000 transformations so far
[2025-09-10 14:24:02,171][__main__][INFO] - Processed 3400/87599 contexts, generated 34000 transformations so far
[2025-09-10 14:24:02,267][__main__][INFO] - Processed 3500/87599 contexts, generated 35000 transformations so far
[2025-09-10 14:24:02,362][__main__][INFO] - Processed 3600/87599 contexts, generated 36000 transformations so far
[2025-09-10 14:24:02,458][__main__][INFO] - Processed 3700/87599 contexts, generated 37000 transformations so far
[2025-09-10 14:24:02,554][__main__][INFO] - Processed 3800/87599 contexts, generated 38000 transformations so far
[2025-09-10 14:24:02,649][__main__][INFO] - Processed 3900/87599 contexts, generated 39000 transformations so far
[2025-09-10 14:24:02,744][__main__][INFO] - Processed 4000/87599 contexts, generated 40000 transformations so far
[2025-09-10 14:24:02,880][__main__][INFO] - Processed 4100/87599 contexts, generated 41000 transformations so far
[2025-09-10 14:24:02,975][__main__][INFO] - Processed 4200/87599 contexts, generated 42000 transformations so far
[2025-09-10 14:24:03,072][__main__][INFO] - Processed 4300/87599 contexts, generated 43000 transformations so far
[2025-09-10 14:24:03,170][__main__][INFO] - Processed 4400/87599 contexts, generated 44000 transformations so far
[2025-09-10 14:24:03,272][__main__][INFO] - Processed 4500/87599 contexts, generated 45000 transformations so far
[2025-09-10 14:24:03,370][__main__][INFO] - Processed 4600/87599 contexts, generated 46000 transformations so far
[2025-09-10 14:24:03,470][__main__][INFO] - Processed 4700/87599 contexts, generated 47000 transformations so far
[2025-09-10 14:24:03,569][__main__][INFO] - Processed 4800/87599 contexts, generated 48000 transformations so far
[2025-09-10 14:24:03,667][__main__][INFO] - Processed 4900/87599 contexts, generated 49000 transformations so far
[2025-09-10 14:24:03,765][__main__][INFO] - Processed 5000/87599 contexts, generated 50000 transformations so far
[2025-09-10 14:24:03,866][__main__][INFO] - Processed 5100/87599 contexts, generated 51000 transformations so far
[2025-09-10 14:24:03,965][__main__][INFO] - Processed 5200/87599 contexts, generated 52000 transformations so far
[2025-09-10 14:24:04,125][__main__][INFO] - Processed 5300/87599 contexts, generated 53000 transformations so far
[2025-09-10 14:24:04,225][__main__][INFO] - Processed 5400/87599 contexts, generated 54000 transformations so far
[2025-09-10 14:24:04,324][__main__][INFO] - Processed 5500/87599 contexts, generated 55000 transformations so far
[2025-09-10 14:24:04,423][__main__][INFO] - Processed 5600/87599 contexts, generated 56000 transformations so far
[2025-09-10 14:24:04,522][__main__][INFO] - Processed 5700/87599 contexts, generated 57000 transformations so far
[2025-09-10 14:24:04,620][__main__][INFO] - Processed 5800/87599 contexts, generated 58000 transformations so far
[2025-09-10 14:24:04,719][__main__][INFO] - Processed 5900/87599 contexts, generated 59000 transformations so far
[2025-09-10 14:24:04,825][__main__][INFO] - Processed 6000/87599 contexts, generated 60000 transformations so far
[2025-09-10 14:24:04,976][__main__][INFO] - Processed 6100/87599 contexts, generated 61000 transformations so far
[2025-09-10 14:24:05,072][__main__][INFO] - Processed 6200/87599 contexts, generated 62000 transformations so far
[2025-09-10 14:24:05,169][__main__][INFO] - Processed 6300/87599 contexts, generated 63000 transformations so far
[2025-09-10 14:24:05,265][__main__][INFO] - Processed 6400/87599 contexts, generated 64000 transformations so far
[2025-09-10 14:24:05,367][__main__][INFO] - Processed 6500/87599 contexts, generated 65000 transformations so far
[2025-09-10 14:24:05,464][__main__][INFO] - Processed 6600/87599 contexts, generated 66000 transformations so far
[2025-09-10 14:24:05,563][__main__][INFO] - Processed 6700/87599 contexts, generated 67000 transformations so far
[2025-09-10 14:24:05,749][__main__][INFO] - Processed 6800/87599 contexts, generated 68000 transformations so far
[2025-09-10 14:24:05,848][__main__][INFO] - Processed 6900/87599 contexts, generated 69000 transformations so far
[2025-09-10 14:24:05,947][__main__][INFO] - Processed 7000/87599 contexts, generated 70000 transformations so far
[2025-09-10 14:24:06,045][__main__][INFO] - Processed 7100/87599 contexts, generated 71000 transformations so far
