[2025-09-10 14:34:01,919][__main__][INFO] - Using transform name 'random_number_of_words_50_characters_10_spread' for output filename
[2025-09-10 14:34:01,919][__main__][INFO] - Loading dataset from data/squad/squad.csv
[2025-09-10 14:34:01,919][__main__][INFO] - Output will be saved to: data/squad/squad_augmented_random_number_of_words_50_characters_10_spread.csv
[2025-09-10 14:34:01,919][__main__][WARNING] - Output file already exists and will be overwritten: data/squad/squad_augmented_random_number_of_words_50_characters_10_spread.csv
[2025-09-10 14:34:02,290][__main__][INFO] - Loaded dataset with 87599 rows and 9 columns
[2025-09-10 14:34:02,290][__main__][INFO] - Columns: ['id', 'title', 'context', 'question', 'answer', 'answer_start_char_idx', 'answer_end_char_idx', 'answer_start_word_idx', 'answer_end_word_idx']
[2025-09-10 14:34:02,290][__main__][INFO] - Instantiating transformer from configuration
[2025-09-10 14:34:02,292][__main__][INFO] - Created transformer: RandomSequenceTransformation
[2025-09-10 14:34:02,293][__main__][INFO] - Transforming 87599 rows in 'context' column
[2025-09-10 14:34:02,400][__main__][INFO] - Processed 100/87599 contexts, generated 1000 transformations so far
[2025-09-10 14:34:02,498][__main__][INFO] - Processed 200/87599 contexts, generated 2000 transformations so far
[2025-09-10 14:34:02,596][__main__][INFO] - Processed 300/87599 contexts, generated 3000 transformations so far
[2025-09-10 14:34:02,707][__main__][INFO] - Processed 400/87599 contexts, generated 4000 transformations so far
[2025-09-10 14:34:02,809][__main__][INFO] - Processed 500/87599 contexts, generated 5000 transformations so far
[2025-09-10 14:34:02,907][__main__][INFO] - Processed 600/87599 contexts, generated 6000 transformations so far
[2025-09-10 14:34:03,005][__main__][INFO] - Processed 700/87599 contexts, generated 7000 transformations so far
[2025-09-10 14:34:03,103][__main__][INFO] - Processed 800/87599 contexts, generated 8000 transformations so far
[2025-09-10 14:34:03,201][__main__][INFO] - Processed 900/87599 contexts, generated 9000 transformations so far
[2025-09-10 14:34:03,315][__main__][INFO] - Processed 1000/87599 contexts, generated 10000 transformations so far
[2025-09-10 14:34:03,412][__main__][INFO] - Processed 1100/87599 contexts, generated 11000 transformations so far
[2025-09-10 14:34:03,511][__main__][INFO] - Processed 1200/87599 contexts, generated 12000 transformations so far
[2025-09-10 14:34:03,608][__main__][INFO] - Processed 1300/87599 contexts, generated 13000 transformations so far
[2025-09-10 14:34:03,710][__main__][INFO] - Processed 1400/87599 contexts, generated 14000 transformations so far
[2025-09-10 14:34:03,807][__main__][INFO] - Processed 1500/87599 contexts, generated 15000 transformations so far
[2025-09-10 14:34:03,906][__main__][INFO] - Processed 1600/87599 contexts, generated 16000 transformations so far
