[2025-09-10 14:37:39,172][__main__][INFO] - Using transform name 'random_number_of_words_50_characters_10_spread' for output filename
[2025-09-10 14:37:39,172][__main__][INFO] - Loading dataset from data/squad/squad.csv
[2025-09-10 14:37:39,172][__main__][INFO] - Output will be saved to: data/squad/squad_augmented_random_number_of_words_50_characters_10_spread.csv
[2025-09-10 14:37:39,538][__main__][INFO] - Loaded dataset with 87599 rows and 9 columns
[2025-09-10 14:37:39,538][__main__][INFO] - Columns: ['id', 'title', 'context', 'question', 'answer', 'answer_start_char_idx', 'answer_end_char_idx', 'answer_start_word_idx', 'answer_end_word_idx']
[2025-09-10 14:37:39,538][__main__][INFO] - Instantiating transformer from configuration
[2025-09-10 14:37:39,540][__main__][INFO] - Created transformer: RandomSequenceTransformation
[2025-09-10 14:37:39,540][__main__][INFO] - Transforming 87599 rows in 'context' column
[2025-09-10 14:37:39,561][__main__][INFO] - Processed 100/87599 contexts, generated 100 transformations so far
[2025-09-10 14:37:39,572][__main__][INFO] - Processed 200/87599 contexts, generated 200 transformations so far
[2025-09-10 14:37:39,584][__main__][INFO] - Processed 300/87599 contexts, generated 300 transformations so far
[2025-09-10 14:37:39,595][__main__][INFO] - Processed 400/87599 contexts, generated 400 transformations so far
[2025-09-10 14:37:39,607][__main__][INFO] - Processed 500/87599 contexts, generated 500 transformations so far
[2025-09-10 14:37:39,618][__main__][INFO] - Processed 600/87599 contexts, generated 600 transformations so far
[2025-09-10 14:37:39,629][__main__][INFO] - Processed 700/87599 contexts, generated 700 transformations so far
[2025-09-10 14:37:39,641][__main__][INFO] - Processed 800/87599 contexts, generated 800 transformations so far
[2025-09-10 14:37:39,652][__main__][INFO] - Processed 900/87599 contexts, generated 900 transformations so far
[2025-09-10 14:37:39,664][__main__][INFO] - Processed 1000/87599 contexts, generated 1000 transformations so far
[2025-09-10 14:37:39,676][__main__][INFO] - Processed 1100/87599 contexts, generated 1100 transformations so far
[2025-09-10 14:37:39,687][__main__][INFO] - Processed 1200/87599 contexts, generated 1200 transformations so far
[2025-09-10 14:37:39,699][__main__][INFO] - Processed 1300/87599 contexts, generated 1300 transformations so far
[2025-09-10 14:37:39,710][__main__][INFO] - Processed 1400/87599 contexts, generated 1400 transformations so far
[2025-09-10 14:37:39,722][__main__][INFO] - Processed 1500/87599 contexts, generated 1500 transformations so far
[2025-09-10 14:37:39,734][__main__][INFO] - Processed 1600/87599 contexts, generated 1600 transformations so far
[2025-09-10 14:37:39,745][__main__][INFO] - Processed 1700/87599 contexts, generated 1700 transformations so far
[2025-09-10 14:37:39,756][__main__][INFO] - Processed 1800/87599 contexts, generated 1800 transformations so far
[2025-09-10 14:37:39,768][__main__][INFO] - Processed 1900/87599 contexts, generated 1900 transformations so far
[2025-09-10 14:37:39,779][__main__][INFO] - Processed 2000/87599 contexts, generated 2000 transformations so far
[2025-09-10 14:37:39,790][__main__][INFO] - Processed 2100/87599 contexts, generated 2100 transformations so far
[2025-09-10 14:37:39,801][__main__][INFO] - Processed 2200/87599 contexts, generated 2200 transformations so far
[2025-09-10 14:37:39,812][__main__][INFO] - Processed 2300/87599 contexts, generated 2300 transformations so far
[2025-09-10 14:37:39,824][__main__][INFO] - Processed 2400/87599 contexts, generated 2400 transformations so far
[2025-09-10 14:37:39,835][__main__][INFO] - Processed 2500/87599 contexts, generated 2500 transformations so far
[2025-09-10 14:37:39,847][__main__][INFO] - Processed 2600/87599 contexts, generated 2600 transformations so far
[2025-09-10 14:37:39,858][__main__][INFO] - Processed 2700/87599 contexts, generated 2700 transformations so far
[2025-09-10 14:37:39,869][__main__][INFO] - Processed 2800/87599 contexts, generated 2800 transformations so far
[2025-09-10 14:37:39,881][__main__][INFO] - Processed 2900/87599 contexts, generated 2900 transformations so far
[2025-09-10 14:37:39,907][__main__][INFO] - Processed 3000/87599 contexts, generated 3000 transformations so far
[2025-09-10 14:37:39,917][__main__][INFO] - Processed 3100/87599 contexts, generated 3100 transformations so far
[2025-09-10 14:37:39,928][__main__][INFO] - Processed 3200/87599 contexts, generated 3200 transformations so far
[2025-09-10 14:37:39,940][__main__][INFO] - Processed 3300/87599 contexts, generated 3300 transformations so far
[2025-09-10 14:37:39,951][__main__][INFO] - Processed 3400/87599 contexts, generated 3400 transformations so far
[2025-09-10 14:37:39,962][__main__][INFO] - Processed 3500/87599 contexts, generated 3500 transformations so far
[2025-09-10 14:37:39,973][__main__][INFO] - Processed 3600/87599 contexts, generated 3600 transformations so far
[2025-09-10 14:37:39,984][__main__][INFO] - Processed 3700/87599 contexts, generated 3700 transformations so far
