[2025-09-10 14:50:31,742][__main__][INFO] - Using transform name 'random_number_of_words_50_characters_10_spread' for output filename
[2025-09-10 14:50:31,742][__main__][INFO] - Loading dataset from data/squad/squad.csv
[2025-09-10 14:50:31,742][__main__][INFO] - Output will be saved to: data/squad/random_number_of_words_50_characters_10_spread
[2025-09-10 14:50:32,116][__main__][INFO] - Loaded dataset with 87599 rows and 9 columns
[2025-09-10 14:50:32,116][__main__][INFO] - Columns: ['id', 'title', 'context', 'question', 'answer', 'answer_start_char_idx', 'answer_end_char_idx', 'answer_start_word_idx', 'answer_end_word_idx']
[2025-09-10 14:50:32,116][__main__][INFO] - Instantiating transformer from configuration
[2025-09-10 14:50:32,118][__main__][INFO] - Created transformer: RandomSequenceTransformation
[2025-09-10 14:50:32,119][__main__][INFO] - Transforming 87599 rows in 'context' column
[2025-09-10 14:50:32,141][__main__][INFO] - Processed 100/87599 contexts, generated 100 transformations so far
[2025-09-10 14:50:32,155][__main__][INFO] - Processed 200/87599 contexts, generated 200 transformations so far
[2025-09-10 14:50:32,168][__main__][INFO] - Processed 300/87599 contexts, generated 300 transformations so far
[2025-09-10 14:50:32,181][__main__][INFO] - Processed 400/87599 contexts, generated 400 transformations so far
[2025-09-10 14:50:32,194][__main__][INFO] - Processed 500/87599 contexts, generated 500 transformations so far
[2025-09-10 14:50:32,207][__main__][INFO] - Processed 600/87599 contexts, generated 600 transformations so far
[2025-09-10 14:50:32,220][__main__][INFO] - Processed 700/87599 contexts, generated 700 transformations so far
[2025-09-10 14:50:32,233][__main__][INFO] - Processed 800/87599 contexts, generated 800 transformations so far
[2025-09-10 14:50:32,246][__main__][INFO] - Processed 900/87599 contexts, generated 900 transformations so far
[2025-09-10 14:50:32,259][__main__][INFO] - Processed 1000/87599 contexts, generated 1000 transformations so far
[2025-09-10 14:50:32,273][__main__][INFO] - Processed 1100/87599 contexts, generated 1100 transformations so far
[2025-09-10 14:50:32,286][__main__][INFO] - Processed 1200/87599 contexts, generated 1200 transformations so far
[2025-09-10 14:50:32,299][__main__][INFO] - Processed 1300/87599 contexts, generated 1300 transformations so far
[2025-09-10 14:50:32,313][__main__][INFO] - Processed 1400/87599 contexts, generated 1400 transformations so far
[2025-09-10 14:50:32,326][__main__][INFO] - Processed 1500/87599 contexts, generated 1500 transformations so far
[2025-09-10 14:50:32,339][__main__][INFO] - Processed 1600/87599 contexts, generated 1600 transformations so far
[2025-09-10 14:50:32,352][__main__][INFO] - Processed 1700/87599 contexts, generated 1700 transformations so far
