[2025-09-10 14:51:40,639][__main__][INFO] - Using transform name 'random_number_of_words_50_characters_10_spread' for output filename
[2025-09-10 14:51:40,639][__main__][INFO] - Loading dataset from data/squad/squad.csv
[2025-09-10 14:51:40,639][__main__][INFO] - Output will be saved to: data/squad/squad_augmented/random_number_of_words_50_characters_10_spread.csv
[2025-09-10 14:51:41,002][__main__][INFO] - Loaded dataset with 87599 rows and 9 columns
[2025-09-10 14:51:41,003][__main__][INFO] - Columns: ['id', 'title', 'context', 'question', 'answer', 'answer_start_char_idx', 'answer_end_char_idx', 'answer_start_word_idx', 'answer_end_word_idx']
[2025-09-10 14:51:41,003][__main__][INFO] - Instantiating transformer from configuration
[2025-09-10 14:51:41,005][__main__][INFO] - Created transformer: RandomSequenceTransformation
[2025-09-10 14:51:41,005][__main__][INFO] - Transforming 87599 rows in 'context' column
[2025-09-10 14:51:41,029][__main__][INFO] - Processed 100/87599 contexts, generated 100 transformations so far
[2025-09-10 14:51:41,043][__main__][INFO] - Processed 200/87599 contexts, generated 200 transformations so far
[2025-09-10 14:51:41,057][__main__][INFO] - Processed 300/87599 contexts, generated 300 transformations so far
[2025-09-10 14:51:41,071][__main__][INFO] - Processed 400/87599 contexts, generated 400 transformations so far
[2025-09-10 14:51:41,085][__main__][INFO] - Processed 500/87599 contexts, generated 500 transformations so far
[2025-09-10 14:51:41,113][__main__][INFO] - Processed 600/87599 contexts, generated 600 transformations so far
[2025-09-10 14:51:41,127][__main__][INFO] - Processed 700/87599 contexts, generated 700 transformations so far
[2025-09-10 14:51:41,141][__main__][INFO] - Processed 800/87599 contexts, generated 800 transformations so far
[2025-09-10 14:51:41,154][__main__][INFO] - Processed 900/87599 contexts, generated 900 transformations so far
[2025-09-10 14:51:41,168][__main__][INFO] - Processed 1000/87599 contexts, generated 1000 transformations so far
[2025-09-10 14:51:41,181][__main__][INFO] - Processed 1100/87599 contexts, generated 1100 transformations so far
[2025-09-10 14:51:41,195][__main__][INFO] - Processed 1200/87599 contexts, generated 1200 transformations so far
[2025-09-10 14:51:41,208][__main__][INFO] - Processed 1300/87599 contexts, generated 1300 transformations so far
[2025-09-10 14:51:41,221][__main__][INFO] - Processed 1400/87599 contexts, generated 1400 transformations so far
[2025-09-10 14:51:41,235][__main__][INFO] - Processed 1500/87599 contexts, generated 1500 transformations so far
[2025-09-10 14:51:41,248][__main__][INFO] - Processed 1600/87599 contexts, generated 1600 transformations so far
[2025-09-10 14:51:41,261][__main__][INFO] - Processed 1700/87599 contexts, generated 1700 transformations so far
[2025-09-10 14:51:41,275][__main__][INFO] - Processed 1800/87599 contexts, generated 1800 transformations so far
[2025-09-10 14:51:41,288][__main__][INFO] - Processed 1900/87599 contexts, generated 1900 transformations so far
[2025-09-10 14:51:41,300][__main__][INFO] - Processed 2000/87599 contexts, generated 2000 transformations so far
[2025-09-10 14:51:41,313][__main__][INFO] - Processed 2100/87599 contexts, generated 2100 transformations so far
[2025-09-10 14:51:41,326][__main__][INFO] - Processed 2200/87599 contexts, generated 2200 transformations so far
[2025-09-10 14:51:41,339][__main__][INFO] - Processed 2300/87599 contexts, generated 2300 transformations so far
[2025-09-10 14:51:41,353][__main__][INFO] - Processed 2400/87599 contexts, generated 2400 transformations so far
[2025-09-10 14:51:41,365][__main__][INFO] - Processed 2500/87599 contexts, generated 2500 transformations so far
[2025-09-10 14:51:41,378][__main__][INFO] - Processed 2600/87599 contexts, generated 2600 transformations so far
[2025-09-10 14:51:41,392][__main__][INFO] - Processed 2700/87599 contexts, generated 2700 transformations so far
[2025-09-10 14:51:41,405][__main__][INFO] - Processed 2800/87599 contexts, generated 2800 transformations so far
[2025-09-10 14:51:41,419][__main__][INFO] - Processed 2900/87599 contexts, generated 2900 transformations so far
[2025-09-10 14:51:41,448][__main__][INFO] - Processed 3000/87599 contexts, generated 3000 transformations so far
[2025-09-10 14:51:41,461][__main__][INFO] - Processed 3100/87599 contexts, generated 3100 transformations so far
[2025-09-10 14:51:41,474][__main__][INFO] - Processed 3200/87599 contexts, generated 3200 transformations so far
[2025-09-10 14:51:41,487][__main__][INFO] - Processed 3300/87599 contexts, generated 3300 transformations so far
[2025-09-10 14:51:41,500][__main__][INFO] - Processed 3400/87599 contexts, generated 3400 transformations so far
[2025-09-10 14:51:41,513][__main__][INFO] - Processed 3500/87599 contexts, generated 3500 transformations so far
[2025-09-10 14:51:41,525][__main__][INFO] - Processed 3600/87599 contexts, generated 3600 transformations so far
[2025-09-10 14:51:41,538][__main__][INFO] - Processed 3700/87599 contexts, generated 3700 transformations so far
[2025-09-10 14:51:41,551][__main__][INFO] - Processed 3800/87599 contexts, generated 3800 transformations so far
[2025-09-10 14:51:41,564][__main__][INFO] - Processed 3900/87599 contexts, generated 3900 transformations so far
[2025-09-10 14:51:41,577][__main__][INFO] - Processed 4000/87599 contexts, generated 4000 transformations so far
[2025-09-10 14:51:41,591][__main__][INFO] - Processed 4100/87599 contexts, generated 4100 transformations so far
[2025-09-10 14:51:41,604][__main__][INFO] - Processed 4200/87599 contexts, generated 4200 transformations so far
[2025-09-10 14:51:41,619][__main__][INFO] - Processed 4300/87599 contexts, generated 4300 transformations so far
[2025-09-10 14:51:41,643][__main__][INFO] - Processed 4400/87599 contexts, generated 4400 transformations so far
[2025-09-10 14:51:41,659][__main__][INFO] - Processed 4500/87599 contexts, generated 4500 transformations so far
[2025-09-10 14:51:41,673][__main__][INFO] - Processed 4600/87599 contexts, generated 4600 transformations so far
[2025-09-10 14:51:41,687][__main__][INFO] - Processed 4700/87599 contexts, generated 4700 transformations so far
[2025-09-10 14:51:41,701][__main__][INFO] - Processed 4800/87599 contexts, generated 4800 transformations so far
[2025-09-10 14:51:41,715][__main__][INFO] - Processed 4900/87599 contexts, generated 4900 transformations so far
[2025-09-10 14:51:41,728][__main__][INFO] - Processed 5000/87599 contexts, generated 5000 transformations so far
[2025-09-10 14:51:41,742][__main__][INFO] - Processed 5100/87599 contexts, generated 5100 transformations so far
[2025-09-10 14:51:41,755][__main__][INFO] - Processed 5200/87599 contexts, generated 5200 transformations so far
[2025-09-10 14:51:41,769][__main__][INFO] - Processed 5300/87599 contexts, generated 5300 transformations so far
[2025-09-10 14:51:41,782][__main__][INFO] - Processed 5400/87599 contexts, generated 5400 transformations so far
[2025-09-10 14:51:41,795][__main__][INFO] - Processed 5500/87599 contexts, generated 5500 transformations so far
[2025-09-10 14:51:41,809][__main__][INFO] - Processed 5600/87599 contexts, generated 5600 transformations so far
[2025-09-10 14:51:41,822][__main__][INFO] - Processed 5700/87599 contexts, generated 5700 transformations so far
[2025-09-10 14:51:41,835][__main__][INFO] - Processed 5800/87599 contexts, generated 5800 transformations so far
[2025-09-10 14:51:41,849][__main__][INFO] - Processed 5900/87599 contexts, generated 5900 transformations so far
[2025-09-10 14:51:41,863][__main__][INFO] - Processed 6000/87599 contexts, generated 6000 transformations so far
[2025-09-10 14:51:41,877][__main__][INFO] - Processed 6100/87599 contexts, generated 6100 transformations so far
[2025-09-10 14:51:41,892][__main__][INFO] - Processed 6200/87599 contexts, generated 6200 transformations so far
[2025-09-10 14:51:41,905][__main__][INFO] - Processed 6300/87599 contexts, generated 6300 transformations so far
[2025-09-10 14:51:41,918][__main__][INFO] - Processed 6400/87599 contexts, generated 6400 transformations so far
[2025-09-10 14:51:41,931][__main__][INFO] - Processed 6500/87599 contexts, generated 6500 transformations so far
[2025-09-10 14:51:41,945][__main__][INFO] - Processed 6600/87599 contexts, generated 6600 transformations so far
[2025-09-10 14:51:41,958][__main__][INFO] - Processed 6700/87599 contexts, generated 6700 transformations so far
[2025-09-10 14:51:41,972][__main__][INFO] - Processed 6800/87599 contexts, generated 6800 transformations so far
[2025-09-10 14:51:41,985][__main__][INFO] - Processed 6900/87599 contexts, generated 6900 transformations so far
[2025-09-10 14:51:41,998][__main__][INFO] - Processed 7000/87599 contexts, generated 7000 transformations so far
[2025-09-10 14:51:42,012][__main__][INFO] - Processed 7100/87599 contexts, generated 7100 transformations so far
[2025-09-10 14:51:42,025][__main__][INFO] - Processed 7200/87599 contexts, generated 7200 transformations so far
[2025-09-10 14:51:42,038][__main__][INFO] - Processed 7300/87599 contexts, generated 7300 transformations so far
[2025-09-10 14:51:42,051][__main__][INFO] - Processed 7400/87599 contexts, generated 7400 transformations so far
[2025-09-10 14:51:42,064][__main__][INFO] - Processed 7500/87599 contexts, generated 7500 transformations so far
[2025-09-10 14:51:42,077][__main__][INFO] - Processed 7600/87599 contexts, generated 7600 transformations so far
[2025-09-10 14:51:42,091][__main__][INFO] - Processed 7700/87599 contexts, generated 7700 transformations so far
[2025-09-10 14:51:42,105][__main__][INFO] - Processed 7800/87599 contexts, generated 7800 transformations so far
[2025-09-10 14:51:42,119][__main__][INFO] - Processed 7900/87599 contexts, generated 7900 transformations so far
[2025-09-10 14:51:42,144][__main__][INFO] - Processed 8000/87599 contexts, generated 8000 transformations so far
[2025-09-10 14:51:42,158][__main__][INFO] - Processed 8100/87599 contexts, generated 8100 transformations so far
[2025-09-10 14:51:42,171][__main__][INFO] - Processed 8200/87599 contexts, generated 8200 transformations so far
[2025-09-10 14:51:42,184][__main__][INFO] - Processed 8300/87599 contexts, generated 8300 transformations so far
[2025-09-10 14:51:42,198][__main__][INFO] - Processed 8400/87599 contexts, generated 8400 transformations so far
[2025-09-10 14:51:42,212][__main__][INFO] - Processed 8500/87599 contexts, generated 8500 transformations so far
[2025-09-10 14:51:42,225][__main__][INFO] - Processed 8600/87599 contexts, generated 8600 transformations so far
[2025-09-10 14:51:42,260][__main__][INFO] - Processed 8700/87599 contexts, generated 8700 transformations so far
[2025-09-10 14:51:42,273][__main__][INFO] - Processed 8800/87599 contexts, generated 8800 transformations so far
[2025-09-10 14:51:42,287][__main__][INFO] - Processed 8900/87599 contexts, generated 8900 transformations so far
[2025-09-10 14:51:42,301][__main__][INFO] - Processed 9000/87599 contexts, generated 9000 transformations so far
[2025-09-10 14:51:42,314][__main__][INFO] - Processed 9100/87599 contexts, generated 9100 transformations so far
[2025-09-10 14:51:42,328][__main__][INFO] - Processed 9200/87599 contexts, generated 9200 transformations so far
[2025-09-10 14:51:42,342][__main__][INFO] - Processed 9300/87599 contexts, generated 9300 transformations so far
[2025-09-10 14:51:42,355][__main__][INFO] - Processed 9400/87599 contexts, generated 9400 transformations so far
[2025-09-10 14:51:42,368][__main__][INFO] - Processed 9500/87599 contexts, generated 9500 transformations so far
[2025-09-10 14:51:42,381][__main__][INFO] - Processed 9600/87599 contexts, generated 9600 transformations so far
[2025-09-10 14:51:42,394][__main__][INFO] - Processed 9700/87599 contexts, generated 9700 transformations so far
[2025-09-10 14:51:42,407][__main__][INFO] - Processed 9800/87599 contexts, generated 9800 transformations so far
[2025-09-10 14:51:42,420][__main__][INFO] - Processed 9900/87599 contexts, generated 9900 transformations so far
[2025-09-10 14:51:42,432][__main__][INFO] - Processed 10000/87599 contexts, generated 10000 transformations so far
[2025-09-10 14:51:42,445][__main__][INFO] - Processed 10100/87599 contexts, generated 10100 transformations so far
[2025-09-10 14:51:42,458][__main__][INFO] - Processed 10200/87599 contexts, generated 10200 transformations so far
[2025-09-10 14:51:42,471][__main__][INFO] - Processed 10300/87599 contexts, generated 10300 transformations so far
[2025-09-10 14:51:42,484][__main__][INFO] - Processed 10400/87599 contexts, generated 10400 transformations so far
[2025-09-10 14:51:42,497][__main__][INFO] - Processed 10500/87599 contexts, generated 10500 transformations so far
[2025-09-10 14:51:42,510][__main__][INFO] - Processed 10600/87599 contexts, generated 10600 transformations so far
[2025-09-10 14:51:42,523][__main__][INFO] - Processed 10700/87599 contexts, generated 10700 transformations so far
[2025-09-10 14:51:42,536][__main__][INFO] - Processed 10800/87599 contexts, generated 10800 transformations so far
[2025-09-10 14:51:42,549][__main__][INFO] - Processed 10900/87599 contexts, generated 10900 transformations so far
[2025-09-10 14:51:42,562][__main__][INFO] - Processed 11000/87599 contexts, generated 11000 transformations so far
[2025-09-10 14:51:42,574][__main__][INFO] - Processed 11100/87599 contexts, generated 11100 transformations so far
[2025-09-10 14:51:42,587][__main__][INFO] - Processed 11200/87599 contexts, generated 11200 transformations so far
[2025-09-10 14:51:42,600][__main__][INFO] - Processed 11300/87599 contexts, generated 11300 transformations so far
[2025-09-10 14:51:42,613][__main__][INFO] - Processed 11400/87599 contexts, generated 11400 transformations so far
[2025-09-10 14:51:42,626][__main__][INFO] - Processed 11500/87599 contexts, generated 11500 transformations so far
[2025-09-10 14:51:42,639][__main__][INFO] - Processed 11600/87599 contexts, generated 11600 transformations so far
[2025-09-10 14:51:42,652][__main__][INFO] - Processed 11700/87599 contexts, generated 11700 transformations so far
[2025-09-10 14:51:42,665][__main__][INFO] - Processed 11800/87599 contexts, generated 11800 transformations so far
[2025-09-10 14:51:42,678][__main__][INFO] - Processed 11900/87599 contexts, generated 11900 transformations so far
[2025-09-10 14:51:42,692][__main__][INFO] - Processed 12000/87599 contexts, generated 12000 transformations so far
[2025-09-10 14:51:42,705][__main__][INFO] - Processed 12100/87599 contexts, generated 12100 transformations so far
[2025-09-10 14:51:42,719][__main__][INFO] - Processed 12200/87599 contexts, generated 12200 transformations so far
[2025-09-10 14:51:42,741][__main__][INFO] - Processed 12300/87599 contexts, generated 12300 transformations so far
[2025-09-10 14:51:42,757][__main__][INFO] - Processed 12400/87599 contexts, generated 12400 transformations so far
[2025-09-10 14:51:42,770][__main__][INFO] - Processed 12500/87599 contexts, generated 12500 transformations so far
[2025-09-10 14:51:42,782][__main__][INFO] - Processed 12600/87599 contexts, generated 12600 transformations so far
[2025-09-10 14:51:42,804][__main__][INFO] - Processed 12700/87599 contexts, generated 12700 transformations so far
[2025-09-10 14:51:42,845][__main__][INFO] - Processed 12800/87599 contexts, generated 12800 transformations so far
[2025-09-10 14:51:42,868][__main__][INFO] - Processed 12900/87599 contexts, generated 12900 transformations so far
[2025-09-10 14:51:42,880][__main__][INFO] - Processed 13000/87599 contexts, generated 13000 transformations so far
[2025-09-10 14:51:42,893][__main__][INFO] - Processed 13100/87599 contexts, generated 13100 transformations so far
[2025-09-10 14:51:42,905][__main__][INFO] - Processed 13200/87599 contexts, generated 13200 transformations so far
[2025-09-10 14:51:42,918][__main__][INFO] - Processed 13300/87599 contexts, generated 13300 transformations so far
[2025-09-10 14:51:42,931][__main__][INFO] - Processed 13400/87599 contexts, generated 13400 transformations so far
[2025-09-10 14:51:42,944][__main__][INFO] - Processed 13500/87599 contexts, generated 13500 transformations so far
[2025-09-10 14:51:42,956][__main__][INFO] - Processed 13600/87599 contexts, generated 13600 transformations so far
[2025-09-10 14:51:42,969][__main__][INFO] - Processed 13700/87599 contexts, generated 13700 transformations so far
[2025-09-10 14:51:42,982][__main__][INFO] - Processed 13800/87599 contexts, generated 13800 transformations so far
[2025-09-10 14:51:42,995][__main__][INFO] - Processed 13900/87599 contexts, generated 13900 transformations so far
[2025-09-10 14:51:43,007][__main__][INFO] - Processed 14000/87599 contexts, generated 14000 transformations so far
[2025-09-10 14:51:43,020][__main__][INFO] - Processed 14100/87599 contexts, generated 14100 transformations so far
[2025-09-10 14:51:43,033][__main__][INFO] - Processed 14200/87599 contexts, generated 14200 transformations so far
[2025-09-10 14:51:43,046][__main__][INFO] - Processed 14300/87599 contexts, generated 14300 transformations so far
[2025-09-10 14:51:43,058][__main__][INFO] - Processed 14400/87599 contexts, generated 14400 transformations so far
