[2025-09-10 14:52:13,583][__main__][INFO] - Using transform name 'random_number_of_words_50_characters_10_spread' for output filename
[2025-09-10 14:52:13,583][__main__][INFO] - Loading dataset from data/squad/squad.csv
[2025-09-10 14:52:13,583][__main__][INFO] - Output will be saved to: data/squad/random_number_of_words_50_characters_10_spread.csv
[2025-09-10 14:52:13,945][__main__][INFO] - Loaded dataset with 87599 rows and 9 columns
[2025-09-10 14:52:13,946][__main__][INFO] - Columns: ['id', 'title', 'context', 'question', 'answer', 'answer_start_char_idx', 'answer_end_char_idx', 'answer_start_word_idx', 'answer_end_word_idx']
[2025-09-10 14:52:13,946][__main__][INFO] - Instantiating transformer from configuration
[2025-09-10 14:52:13,948][__main__][INFO] - Created transformer: RandomSequenceTransformation
[2025-09-10 14:52:13,948][__main__][INFO] - Transforming 87599 rows in 'context' column
[2025-09-10 14:52:13,971][__main__][INFO] - Processed 100/87599 contexts, generated 100 transformations so far
[2025-09-10 14:52:13,985][__main__][INFO] - Processed 200/87599 contexts, generated 200 transformations so far
[2025-09-10 14:52:13,998][__main__][INFO] - Processed 300/87599 contexts, generated 300 transformations so far
[2025-09-10 14:52:14,012][__main__][INFO] - Processed 400/87599 contexts, generated 400 transformations so far
[2025-09-10 14:52:14,025][__main__][INFO] - Processed 500/87599 contexts, generated 500 transformations so far
[2025-09-10 14:52:14,038][__main__][INFO] - Processed 600/87599 contexts, generated 600 transformations so far
[2025-09-10 14:52:14,051][__main__][INFO] - Processed 700/87599 contexts, generated 700 transformations so far
[2025-09-10 14:52:14,065][__main__][INFO] - Processed 800/87599 contexts, generated 800 transformations so far
[2025-09-10 14:52:14,078][__main__][INFO] - Processed 900/87599 contexts, generated 900 transformations so far
[2025-09-10 14:52:14,091][__main__][INFO] - Processed 1000/87599 contexts, generated 1000 transformations so far
[2025-09-10 14:52:14,105][__main__][INFO] - Processed 1100/87599 contexts, generated 1100 transformations so far
[2025-09-10 14:52:14,119][__main__][INFO] - Processed 1200/87599 contexts, generated 1200 transformations so far
[2025-09-10 14:52:14,132][__main__][INFO] - Processed 1300/87599 contexts, generated 1300 transformations so far
[2025-09-10 14:52:14,146][__main__][INFO] - Processed 1400/87599 contexts, generated 1400 transformations so far
[2025-09-10 14:52:14,159][__main__][INFO] - Processed 1500/87599 contexts, generated 1500 transformations so far
[2025-09-10 14:52:14,172][__main__][INFO] - Processed 1600/87599 contexts, generated 1600 transformations so far
[2025-09-10 14:52:14,184][__main__][INFO] - Processed 1700/87599 contexts, generated 1700 transformations so far
[2025-09-10 14:52:14,198][__main__][INFO] - Processed 1800/87599 contexts, generated 1800 transformations so far
[2025-09-10 14:52:14,212][__main__][INFO] - Processed 1900/87599 contexts, generated 1900 transformations so far
[2025-09-10 14:52:14,224][__main__][INFO] - Processed 2000/87599 contexts, generated 2000 transformations so far
[2025-09-10 14:52:14,237][__main__][INFO] - Processed 2100/87599 contexts, generated 2100 transformations so far
[2025-09-10 14:52:14,250][__main__][INFO] - Processed 2200/87599 contexts, generated 2200 transformations so far
[2025-09-10 14:52:14,263][__main__][INFO] - Processed 2300/87599 contexts, generated 2300 transformations so far
[2025-09-10 14:52:14,277][__main__][INFO] - Processed 2400/87599 contexts, generated 2400 transformations so far
[2025-09-10 14:52:14,290][__main__][INFO] - Processed 2500/87599 contexts, generated 2500 transformations so far
[2025-09-10 14:52:14,303][__main__][INFO] - Processed 2600/87599 contexts, generated 2600 transformations so far
[2025-09-10 14:52:14,316][__main__][INFO] - Processed 2700/87599 contexts, generated 2700 transformations so far
[2025-09-10 14:52:14,328][__main__][INFO] - Processed 2800/87599 contexts, generated 2800 transformations so far
[2025-09-10 14:52:14,342][__main__][INFO] - Processed 2900/87599 contexts, generated 2900 transformations so far
[2025-09-10 14:52:14,370][__main__][INFO] - Processed 3000/87599 contexts, generated 3000 transformations so far
[2025-09-10 14:52:14,382][__main__][INFO] - Processed 3100/87599 contexts, generated 3100 transformations so far
[2025-09-10 14:52:14,395][__main__][INFO] - Processed 3200/87599 contexts, generated 3200 transformations so far
[2025-09-10 14:52:14,408][__main__][INFO] - Processed 3300/87599 contexts, generated 3300 transformations so far
[2025-09-10 14:52:14,421][__main__][INFO] - Processed 3400/87599 contexts, generated 3400 transformations so far
[2025-09-10 14:52:14,434][__main__][INFO] - Processed 3500/87599 contexts, generated 3500 transformations so far
[2025-09-10 14:52:14,447][__main__][INFO] - Processed 3600/87599 contexts, generated 3600 transformations so far
[2025-09-10 14:52:14,460][__main__][INFO] - Processed 3700/87599 contexts, generated 3700 transformations so far
[2025-09-10 14:52:14,473][__main__][INFO] - Processed 3800/87599 contexts, generated 3800 transformations so far
[2025-09-10 14:52:14,486][__main__][INFO] - Processed 3900/87599 contexts, generated 3900 transformations so far
[2025-09-10 14:52:14,499][__main__][INFO] - Processed 4000/87599 contexts, generated 4000 transformations so far
[2025-09-10 14:52:14,512][__main__][INFO] - Processed 4100/87599 contexts, generated 4100 transformations so far
[2025-09-10 14:52:14,525][__main__][INFO] - Processed 4200/87599 contexts, generated 4200 transformations so far
[2025-09-10 14:52:14,538][__main__][INFO] - Processed 4300/87599 contexts, generated 4300 transformations so far
[2025-09-10 14:52:14,550][__main__][INFO] - Processed 4400/87599 contexts, generated 4400 transformations so far
[2025-09-10 14:52:14,563][__main__][INFO] - Processed 4500/87599 contexts, generated 4500 transformations so far
[2025-09-10 14:52:14,576][__main__][INFO] - Processed 4600/87599 contexts, generated 4600 transformations so far
[2025-09-10 14:52:14,589][__main__][INFO] - Processed 4700/87599 contexts, generated 4700 transformations so far
[2025-09-10 14:52:14,603][__main__][INFO] - Processed 4800/87599 contexts, generated 4800 transformations so far
[2025-09-10 14:52:14,616][__main__][INFO] - Processed 4900/87599 contexts, generated 4900 transformations so far
[2025-09-10 14:52:14,629][__main__][INFO] - Processed 5000/87599 contexts, generated 5000 transformations so far
[2025-09-10 14:52:14,642][__main__][INFO] - Processed 5100/87599 contexts, generated 5100 transformations so far
[2025-09-10 14:52:14,656][__main__][INFO] - Processed 5200/87599 contexts, generated 5200 transformations so far
[2025-09-10 14:52:14,669][__main__][INFO] - Processed 5300/87599 contexts, generated 5300 transformations so far
[2025-09-10 14:52:14,683][__main__][INFO] - Processed 5400/87599 contexts, generated 5400 transformations so far
[2025-09-10 14:52:14,696][__main__][INFO] - Processed 5500/87599 contexts, generated 5500 transformations so far
[2025-09-10 14:52:14,710][__main__][INFO] - Processed 5600/87599 contexts, generated 5600 transformations so far
[2025-09-10 14:52:14,722][__main__][INFO] - Processed 5700/87599 contexts, generated 5700 transformations so far
[2025-09-10 14:52:14,735][__main__][INFO] - Processed 5800/87599 contexts, generated 5800 transformations so far
[2025-09-10 14:52:14,749][__main__][INFO] - Processed 5900/87599 contexts, generated 5900 transformations so far
[2025-09-10 14:52:14,762][__main__][INFO] - Processed 6000/87599 contexts, generated 6000 transformations so far
