[2025-09-10 14:53:58,727][__main__][INFO] - Using transform name 'checklist/random_number_of_words_50_characters_10_spread' for output filename
[2025-09-10 14:53:58,727][__main__][INFO] - Loading dataset from data/squad/squad.csv
[2025-09-10 14:53:58,727][__main__][INFO] - Output will be saved to: data/squad/checklist/random_number_of_words_50_characters_10_spread.csv
[2025-09-10 14:53:59,088][__main__][INFO] - Loaded dataset with 87599 rows and 9 columns
[2025-09-10 14:53:59,088][__main__][INFO] - Columns: ['id', 'title', 'context', 'question', 'answer', 'answer_start_char_idx', 'answer_end_char_idx', 'answer_start_word_idx', 'answer_end_word_idx']
[2025-09-10 14:53:59,088][__main__][INFO] - Instantiating transformer from configuration
[2025-09-10 14:53:59,090][__main__][INFO] - Created transformer: RandomSequenceTransformation
[2025-09-10 14:53:59,090][__main__][INFO] - Transforming 87599 rows in 'context' column
[2025-09-10 14:53:59,112][__main__][INFO] - Processed 100/87599 contexts, generated 100 transformations so far
[2025-09-10 14:53:59,126][__main__][INFO] - Processed 200/87599 contexts, generated 200 transformations so far
[2025-09-10 14:53:59,139][__main__][INFO] - Processed 300/87599 contexts, generated 300 transformations so far
[2025-09-10 14:53:59,152][__main__][INFO] - Processed 400/87599 contexts, generated 400 transformations so far
[2025-09-10 14:53:59,166][__main__][INFO] - Processed 500/87599 contexts, generated 500 transformations so far
[2025-09-10 14:53:59,179][__main__][INFO] - Processed 600/87599 contexts, generated 600 transformations so far
[2025-09-10 14:53:59,193][__main__][INFO] - Processed 700/87599 contexts, generated 700 transformations so far
[2025-09-10 14:53:59,206][__main__][INFO] - Processed 800/87599 contexts, generated 800 transformations so far
[2025-09-10 14:53:59,220][__main__][INFO] - Processed 900/87599 contexts, generated 900 transformations so far
[2025-09-10 14:53:59,233][__main__][INFO] - Processed 1000/87599 contexts, generated 1000 transformations so far
[2025-09-10 14:53:59,246][__main__][INFO] - Processed 1100/87599 contexts, generated 1100 transformations so far
[2025-09-10 14:53:59,259][__main__][INFO] - Processed 1200/87599 contexts, generated 1200 transformations so far
[2025-09-10 14:53:59,272][__main__][INFO] - Processed 1300/87599 contexts, generated 1300 transformations so far
[2025-09-10 14:53:59,286][__main__][INFO] - Processed 1400/87599 contexts, generated 1400 transformations so far
[2025-09-10 14:53:59,299][__main__][INFO] - Processed 1500/87599 contexts, generated 1500 transformations so far
[2025-09-10 14:53:59,312][__main__][INFO] - Processed 1600/87599 contexts, generated 1600 transformations so far
[2025-09-10 14:53:59,325][__main__][INFO] - Processed 1700/87599 contexts, generated 1700 transformations so far
[2025-09-10 14:53:59,338][__main__][INFO] - Processed 1800/87599 contexts, generated 1800 transformations so far
[2025-09-10 14:53:59,352][__main__][INFO] - Processed 1900/87599 contexts, generated 1900 transformations so far
[2025-09-10 14:53:59,364][__main__][INFO] - Processed 2000/87599 contexts, generated 2000 transformations so far
[2025-09-10 14:53:59,377][__main__][INFO] - Processed 2100/87599 contexts, generated 2100 transformations so far
[2025-09-10 14:53:59,390][__main__][INFO] - Processed 2200/87599 contexts, generated 2200 transformations so far
[2025-09-10 14:53:59,403][__main__][INFO] - Processed 2300/87599 contexts, generated 2300 transformations so far
[2025-09-10 14:53:59,417][__main__][INFO] - Processed 2400/87599 contexts, generated 2400 transformations so far
[2025-09-10 14:53:59,430][__main__][INFO] - Processed 2500/87599 contexts, generated 2500 transformations so far
[2025-09-10 14:53:59,443][__main__][INFO] - Processed 2600/87599 contexts, generated 2600 transformations so far
[2025-09-10 14:53:59,455][__main__][INFO] - Processed 2700/87599 contexts, generated 2700 transformations so far
[2025-09-10 14:53:59,468][__main__][INFO] - Processed 2800/87599 contexts, generated 2800 transformations so far
[2025-09-10 14:53:59,481][__main__][INFO] - Processed 2900/87599 contexts, generated 2900 transformations so far
[2025-09-10 14:53:59,508][__main__][INFO] - Processed 3000/87599 contexts, generated 3000 transformations so far
[2025-09-10 14:53:59,521][__main__][INFO] - Processed 3100/87599 contexts, generated 3100 transformations so far
[2025-09-10 14:53:59,534][__main__][INFO] - Processed 3200/87599 contexts, generated 3200 transformations so far
[2025-09-10 14:53:59,546][__main__][INFO] - Processed 3300/87599 contexts, generated 3300 transformations so far
[2025-09-10 14:53:59,559][__main__][INFO] - Processed 3400/87599 contexts, generated 3400 transformations so far
[2025-09-10 14:53:59,572][__main__][INFO] - Processed 3500/87599 contexts, generated 3500 transformations so far
[2025-09-10 14:53:59,585][__main__][INFO] - Processed 3600/87599 contexts, generated 3600 transformations so far
[2025-09-10 14:53:59,598][__main__][INFO] - Processed 3700/87599 contexts, generated 3700 transformations so far
[2025-09-10 14:53:59,611][__main__][INFO] - Processed 3800/87599 contexts, generated 3800 transformations so far
[2025-09-10 14:53:59,623][__main__][INFO] - Processed 3900/87599 contexts, generated 3900 transformations so far
[2025-09-10 14:53:59,636][__main__][INFO] - Processed 4000/87599 contexts, generated 4000 transformations so far
[2025-09-10 14:53:59,651][__main__][INFO] - Processed 4100/87599 contexts, generated 4100 transformations so far
[2025-09-10 14:53:59,664][__main__][INFO] - Processed 4200/87599 contexts, generated 4200 transformations so far
[2025-09-10 14:53:59,677][__main__][INFO] - Processed 4300/87599 contexts, generated 4300 transformations so far
[2025-09-10 14:53:59,690][__main__][INFO] - Processed 4400/87599 contexts, generated 4400 transformations so far
[2025-09-10 14:53:59,703][__main__][INFO] - Processed 4500/87599 contexts, generated 4500 transformations so far
[2025-09-10 14:53:59,716][__main__][INFO] - Processed 4600/87599 contexts, generated 4600 transformations so far
[2025-09-10 14:53:59,729][__main__][INFO] - Processed 4700/87599 contexts, generated 4700 transformations so far
